SNR, RMSE, NMSE, prob
-12, 6.890143645738827, -6.247905374654143, 0.54
-11, 6.502863813851916, -6.750377706591372, 0.5886363636363636
-10, 5.93512834104128, -7.543868597624705, 0.6568181818181819
-9, 5.401890003628386, -8.361556176430465, 0.7154545454545455
-8, 5.028865767345139, -8.983070029066191, 0.7518181818181818
-7, 4.016917216494511, -10.934613259575844, 0.8422727272727273
-6, 3.08023419119025, -13.24079614429892, 0.9081818181818182
-5, 2.0070271298125895, -16.96140602722375, 0.9622727272727273
-4, 1.2137722424040724, -21.329726868591017, 0.9872727272727273
-3, 0.7389663533758352, -25.639977583647408, 0.9963636363636363
-2, 0.5373663516031814, -28.407061517721402, 0.9986363636363637
-1, 0.37441775482645573, -31.545342205599948, 1.0
0, 0.35191955705031464, -32.08360285852813, 1.0
1, 0.3469487699883889, -32.20716384753126, 1.0
2, 0.33292884844517245, -32.565442320750854, 1.0
3, 0.32402246883382363, -32.80096834981062, 1.0
4, 0.31732506314320946, -32.98238339467447, 1.0
5, 0.3169455868776503, -32.992776709317354, 1.0
6, 0.30998661989789905, -33.185611921519154, 1.0
7, 0.30688949474169486, -33.272830438141604, 1.0
8, 0.30495209402668993, -33.3278384942808, 1.0
9, 0.30730686446098, -33.261025672855894, 1.0
10, 0.30475123881984556, -33.3335613040117, 1.0
11, 0.3041493009473203, -33.35073442969501, 1.0
12, 0.30651634334727124, -33.283398176027205, 1.0
