Separation, RMSE, NMSE, prob
2, 4.495850851931918, 1.5600444897258727, 0.853
4, 1.524095602640618, -6.446994452992606, 1.0
6, 0.6912793541303737, -16.48051761663406, 1.0
8, 1.4215328024699978, -12.537942395655275, 0.9875
10, 0.8165664977404574, -19.183491671002223, 0.996
12, 0.3840054067550988, -27.248096677575198, 1.0
14, 0.20606446359796762, -33.94215898668716, 1.0
16, 0.23169713785804752, -34.04495172933976, 1.0
18, 0.20018062906230089, -36.307864808146824, 1.0
20, 0.1541835120648007, -39.46660136445122, 1.0
22, 0.16861874431457946, -39.49737752364664, 1.0
24, 0.18182023507069614, -39.5819858624021, 1.0
26, 0.21577020157232912, -38.77633398338712, 1.0
28, 0.20862339244315875, -39.7006736753748, 1.0
30, 0.18478127926555293, -41.343704428777734, 1.0
32, 0.19584817020911865, -41.39000469062991, 1.0
34, 0.2267909368220532, -40.63448014100948, 1.0
36, 0.20816041953045364, -41.86840913027187, 1.0
38, 0.19598397986349086, -42.85523561018918, 1.0
40, 0.17384139095520196, -44.3363986257406, 1.0
