SNR, RMSE, NMSE, prob
10, 3.551231216460418, -16.864190936357147, 0.8895454545454545
30, 1.3052370627865164, -25.55798195827571, 0.9881818181818182
50, 0.735784401144902, -30.53675839077991, 0.9977272727272727
70, 0.5336722758702906, -33.32627708438638, 0.9995454545454545
90, 0.43625480586028786, -35.07696544439029, 1.0
110, 0.3993735355704417, -35.844184264725016, 1.0
130, 0.36767212700366675, -36.56255578174966, 1.0
150, 0.3571313047564527, -36.81521152633198, 1.0
170, 0.34875238106852785, -37.021426307812284, 1.0
190, 0.3327243478172925, -37.43007828196365, 1.0
210, 0.33937671021232574, -37.25812922298917, 1.0
230, 0.3137378604544029, -37.94043131572002, 1.0
250, 0.30370870067532935, -38.22262525218263, 1.0
270, 0.301277967282926, -38.292422481956685, 1.0
290, 0.30315590646207524, -38.23844923659169, 1.0
310, 0.3006301777114653, -38.31111846182911, 1.0
330, 0.2917117359137135, -38.57269189391547, 1.0
350, 0.2884751181906431, -38.66960272902931, 1.0
370, 0.2841323428565033, -38.8013564839001, 1.0
390, 0.2866017930809368, -38.72619187541734, 1.0
