SNR, RMSE, NMSE, prob
1, 0.48558769320090905, -34.14641650207565, 1.0
2, 0.35343853207221426, -36.905492034141986, 1.0
3, 0.3656037361600309, -36.61155742575379, 1.0
4, 0.4791708117735853, -34.26196281869173, 0.9986363636363637
5, 0.2949102295512416, -38.47797318614825, 1.0
6, 0.28725450184932505, -38.70643305642886, 1.0
7, 0.29293843305538314, -38.536242846600544, 1.0
8, 0.26878769558469234, -39.28358225100938, 1.0
9, 0.26871710189231596, -39.2858637898069, 1.0
10, 0.26827924569564937, -39.30002839804497, 1.0
