SNR, RMSE, NMSE, prob
-12, 5.011394724472243, -13.872597697673017, 0.7722727272727272
-11, 3.548839799905682, -16.870042043940625, 0.894090909090909
-10, 2.369223978124792, -20.379647546871233, 0.9581818181818181
-9, 1.416039391850558, -24.85026323054513, 0.99
-8, 0.9985565068626756, -27.884317010209053, 0.9968181818181818
-7, 0.6925421430468046, -31.0628458017485, 1.0
-6, 0.6070374785236637, -32.207459833686585, 1.0
-5, 0.5005709556716265, -33.8824569890837, 1.0
-4, 0.4447179993601074, -34.910075773389984, 1.0
-3, 0.38885176640638813, -36.0760884159535, 1.0
-2, 0.33481111767738364, -37.375772524918304, 1.0
-1, 0.3033093974622292, -38.234052605934, 1.0
0, 0.2723440811118651, -39.169411107850756, 1.0
1, 0.25116818630598803, -39.87247733749741, 1.0
2, 0.22763019480025667, -40.727172529030575, 1.0
3, 0.21384253225144897, -41.26988815943374, 1.0
4, 0.1980608153847658, -41.93579867018509, 1.0
5, 0.18806750030816094, -42.38549489088052, 1.0
6, 0.18873069291799682, -42.35491924006334, 1.0
7, 0.1817424710224142, -42.68264136241114, 1.0
8, 0.17889867948370966, -42.81962722166185, 1.0
9, 0.17737895270156417, -42.89372820737262, 1.0
10, 0.177899860986724, -42.868257758962855, 1.0
11, 0.17589474749654044, -42.96671251166521, 1.0
12, 0.17601961922750467, -42.96054839188771, 1.0
