Separation, RMSE, NMSE, prob
2, 7.707876078808721, 6.242501060532451, 0.429
4, 7.149944873348921, 6.978815213453075, 0.505
6, 2.376647504322232, -5.754293873202391, 0.9475
8, 0.5589797505127855, -20.645158598921117, 1.0
10, 0.44526829457283024, -24.450887379616884, 1.0
12, 0.32620503695924097, -28.665030207516338, 1.0
14, 0.43320877736317154, -27.48827609700987, 1.0
16, 0.34095937105885515, -30.689312484252294, 0.9995
18, 0.19151079541161564, -36.69244060050736, 1.0
20, 0.1779675197313432, -38.22054508712725, 1.0
22, 0.2074733777937779, -37.6962469886636, 1.0
24, 0.19276344649352176, -39.07433650833852, 1.0
26, 0.16785613682675174, -40.957418855189864, 1.0
28, 0.19930172063322543, -40.0977127775716, 1.0
30, 0.22172163516972485, -39.76070236201811, 1.0
32, 0.22742877307216477, -40.09148688838223, 1.0
34, 0.21983178242514712, -40.905184416050886, 1.0
36, 0.19692023634610792, -42.350565253413286, 1.0
38, 0.17810229801117042, -43.686256601787676, 1.0
40, 0.16130855831809324, -44.98631419571901, 1.0
