SNR, RMSE, NMSE, prob
10, 3.377407098941637, -6.426709027989168, 0.9109090909090909
30, 1.1093555134481528, -16.096962332380976, 0.9990909090909091
50, 0.8618940472935541, -18.28929963821152, 1.0
70, 0.7746075595973941, -19.216742647212108, 0.9995454545454545
90, 0.6994002388965715, -20.10386173420978, 0.9995454545454545
110, 0.638817937067977, -20.89083521496098, 0.9995454545454545
130, 0.5636538448593098, -21.97812779671521, 1.0
150, 0.5449449245358714, -22.271325018952005, 1.0
170, 0.5237353037348393, -22.616140270454686, 1.0
190, 0.5067347811922789, -22.90276298213538, 1.0
210, 0.49728922512206974, -23.066196274743117, 1.0
230, 0.46885182530717373, -23.577665053273172, 1.0
250, 0.4516795851877822, -23.901768035186226, 1.0
270, 0.45585317937985925, -23.82187749879366, 1.0
290, 0.4363676431598633, -24.20132646681008, 1.0
310, 0.4458383528810421, -24.014828748360934, 1.0
330, 0.4311723925199425, -24.305358360120756, 1.0
350, 0.42831434251056283, -24.36312492944011, 1.0
370, 0.41449960754912196, -24.647894784406045, 1.0
390, 0.41435697858468407, -24.65088411980806, 1.0
