SNR, RMSE, NMSE, prob
-12, 4.476870363981226, -14.852279551579755, 0.8222727272727273
-11, 3.110262628417277, -18.01582870331106, 0.9245454545454546
-10, 2.019579164426556, -21.766552303248183, 0.975
-9, 1.2928467673906303, -25.640828850581645, 0.995
-8, 1.0195012795030596, -27.704014426804523, 0.9977272727272727
-7, 0.7683387148555818, -30.16071559505638, 1.0
-6, 0.6592768120157649, -31.49041391754792, 1.0
-5, 0.530805355407136, -33.37306401492078, 1.0
-4, 0.47581384684391953, -34.32302838997209, 1.0
-3, 0.42171880149651036, -35.37131066647942, 1.0
-2, 0.37459842688129713, -36.40045095357216, 1.0
-1, 0.3538997328750397, -36.89416523540515, 1.0
0, 0.32551776128558413, -37.620276129743246, 1.0
1, 0.31369380052895335, -37.941651210328644, 1.0
2, 0.29441013736910787, -38.492714731938456, 1.0
3, 0.2907605537550642, -38.60106018435766, 1.0
4, 0.2812719547883099, -38.88924129372407, 1.0
5, 0.2696208672236387, -39.256699909633724, 1.0
6, 0.26499878117311243, -39.40689239892272, 1.0
7, 0.2619671784736885, -39.50683228260307, 1.0
8, 0.25801254181249617, -39.63895357487401, 1.0
9, 0.25486312283340795, -39.74562993054293, 1.0
10, 0.2560370538095331, -39.70571350991145, 1.0
11, 0.24897349837905866, -39.9487074956222, 1.0
12, 0.2534773297425646, -39.79298746734826, 1.0
