Separation, RMSE, NMSE, prob
2, 0.6959236614725396, -14.644961359313623, 1.0
4, 7.211159856888332, 7.052863808111969, 0.5
6, 5.529334151643406, 1.5798673810455175, 0.741
8, 4.010443034021414, -3.5292330726127052, 0.9085
10, 2.3891861775294436, -9.858322953536172, 0.949
12, 0.4135255235598006, -26.60479705870194, 1.0
14, 0.22944392501343064, -33.008689777710124, 1.0
16, 0.24159429941171778, -33.681631457793216, 1.0
18, 0.174823921011782, -37.48428867130131, 1.0
20, 0.1790936365502029, -38.165756944159924, 1.0
22, 0.15736522637105846, -40.09731912390503, 1.0
24, 0.16724293971767623, -40.307874305360265, 1.0
26, 0.20348084210652795, -39.285692803271004, 1.0
28, 0.22687836720471682, -38.97207198008253, 1.0
30, 0.24956296614680287, -38.733261043284216, 1.0
32, 0.27682479109899594, -38.38429544014913, 1.0
34, 0.27809628854244856, -38.86309018411096, 1.0
36, 0.2140573304291786, -41.62577012209919, 1.0
38, 0.16426911800509092, -44.38852855711477, 1.0
40, 0.26133804609611627, -40.79540959543713, 1.0
