SNR, RMSE, NMSE, prob
1, 10.0, -7.871769929866803, 0.0
2, 10.0, -7.871769929866803, 0.0
3, 9.88253716243939, -7.974400806956944, 0.026818181818181817
4, 9.72292533379843, -8.115830916966218, 0.06318181818181819
5, 9.97735712391184, -7.891459582085528, 0.004545454545454545
6, 9.955989335284558, -7.910081475333257, 0.009545454545454546
7, 9.99554036953892, -7.875644379662897, 0.0009090909090909091
8, 9.905757256988275, -7.954016304186587, 0.019545454545454546
9, 10.0, -7.871769929866803, 0.0
10, 0.5311966562372763, -33.36666327820487, 0.9990909090909091
