SNR, RMSE, NMSE, prob
-12, 9.005806030724163, -8.78131815125833, 0.1968181818181818
-11, 8.54222189584066, -9.240352972753778, 0.2786363636363636
-10, 8.028294222850105, -9.779304328976467, 0.36363636363636365
-9, 7.006915640314963, -10.961232151095333, 0.5186363636363637
-8, 6.041558694444483, -12.248789948882353, 0.6436363636363637
-7, 4.558434220990272, -14.69545608754358, 0.8
-6, 3.49121699677143, -17.012233074020852, 0.885
-5, 2.2453206982427956, -20.846202335503005, 0.955
-4, 1.7679921962564416, -22.92216304416592, 0.9731818181818181
-3, 1.140930350982594, -26.726587271195193, 0.9904545454545455
-2, 0.85673933617463, -29.21479578867562, 0.9954545454545455
-1, 0.7100758668475764, -30.845674878954537, 0.9972727272727273
0, 0.5407586809643552, -33.21169992997167, 0.9990909090909091
1, 0.5980095853885952, -32.33760702293706, 0.9981818181818182
2, 0.4003699067520088, -35.82254139215882, 1.0
3, 0.4909572638469545, -34.050896132063876, 0.9990909090909091
4, 0.37242874618632144, -36.45090602412657, 1.0
5, 0.42178749169852897, -35.36989600680846, 0.9995454545454545
6, 0.3616755936140011, -36.7053858693881, 1.0
7, 0.360825354133514, -36.72582900268284, 1.0
8, 0.34979550685900346, -36.99548538665445, 1.0
9, 0.35547805520862463, -36.85551402440242, 1.0
10, 0.34960117095066773, -37.00031236164838, 1.0
11, 0.3470381928047567, -37.064224467980985, 1.0
12, 0.356087811351986, -36.84062776900173, 1.0
