SNR, RMSE, NMSE, prob
10, 7.962952985983397, -9.85028689641782, 0.3740909090909091
30, 5.080300981575224, -13.753981048801144, 0.7495454545454545
50, 3.3664717687425862, -17.328270382658907, 0.8927272727272727
70, 2.275937070333067, -20.728564929666074, 0.9531818181818181
90, 1.7056540052283966, -23.233951161509676, 0.975
110, 1.0300287057784816, -27.61478336150441, 0.9931818181818182
130, 1.122372845844114, -26.86902691151152, 0.9904545454545455
150, 1.1117843435937504, -26.951358857044255, 0.9904545454545455
170, 0.763376263125309, -30.216996903352126, 0.9968181818181818
190, 0.8550518127964996, -29.231921289728234, 0.995
210, 0.598213958941042, -32.33463907637471, 0.9986363636363637
230, 0.6514004973000541, -31.594808210812953, 0.9977272727272727
250, 0.4494001198262807, -34.819106250659, 1.0
270, 0.4869335472197038, -34.1223760073601, 0.9995454545454545
290, 0.5999541951177553, -32.30940803023838, 0.9981818181818182
310, 0.6321283937484806, -31.855663967903638, 0.9977272727272727
330, 0.4710249395672737, -34.410891876737445, 0.9995454545454545
350, 0.6605747259779613, -31.473330862553386, 0.9972727272727273
370, 0.4640214923502881, -34.54100800189208, 0.9995454545454545
390, 0.3953994491169495, -35.93104874066906, 1.0
