SNR, RMSE, NMSE, prob
1, 1.4528521743591536, -24.62734137585565, 0.9822727272727273
2, 3.136330866303371, -17.94333248590649, 0.9054545454545454
3, 0.59500925034512, -32.38129557856932, 0.9981818181818182
4, 0.46648121010646665, -34.49508682937075, 0.9995454545454545
5, 0.37637505292785384, -36.359353337994584, 1.0
6, 0.3523722812652566, -36.93173516815454, 1.0
7, 0.3453605672020899, -37.10631495164108, 1.0
8, 0.33586978263121886, -37.34835126576552, 1.0
9, 0.34915130651796034, -37.01149649982121, 1.0
10, 0.30579334247488915, -38.16320940957639, 1.0
