SNR, RMSE, NMSE, prob
-12, 7.614446341552958, 3.723415542185435, 0.445
-11, 7.172819834948549, 3.204447384410676, 0.5122727272727273
-10, 6.650204935141479, 2.547349502937365, 0.5845454545454546
-9, 5.770150074880883, 1.3143911034709226, 0.6886363636363636
-8, 4.6351645961461445, -0.5880478631743256, 0.8045454545454546
-7, 3.1425919018188333, -3.9635913488353647, 0.9154545454545454
-6, 2.0101004479614555, -7.844995864125891, 0.9690909090909091
-5, 1.1869288315782331, -12.420857488080152, 0.9918181818181818
-4, 0.6588256554184939, -17.533941015189267, 0.9995454545454545
-3, 0.6104714893494815, -18.196043360237773, 1.0
-2, 0.5593262633766629, -18.956046841037455, 1.0
-1, 0.5446509558330647, -19.18698567727179, 1.0
0, 0.5208046240016614, -19.57585444622325, 1.0
1, 0.5308774290749173, -19.409465854382827, 1.0
2, 0.5288773537772383, -19.442251652849034, 1.0
3, 0.5241762120715229, -19.519804916383784, 1.0
4, 0.5253851129991798, -19.4997958130646, 1.0
5, 0.5262636330736934, -19.48528388360821, 1.0
6, 0.5240286139562722, -19.52225104002528, 1.0
7, 0.5287552380075223, -19.44425742845702, 1.0
8, 0.5175456618059262, -19.630377625879373, 1.0
9, 0.5279166209993287, -19.458044365063294, 1.0
10, 0.5211985557497354, -19.569286999753075, 1.0
11, 0.5265530644036116, -19.480508175960274, 1.0
12, 0.5271009406604236, -19.471475261001274, 1.0
