SNR, RMSE, NMSE, prob
10, 5.8355687179903075, -1.676713514609468, 0.6831818181818182
30, 2.0791240987738737, -10.640769009573834, 0.9690909090909091
50, 0.9452475450256693, -17.487466101263475, 0.9981818181818182
70, 0.7127759597527955, -19.939316397487854, 1.0
90, 0.6168638658028486, -21.194590636408623, 1.0
110, 0.5555388726846844, -22.104088190735986, 1.0
130, 0.5285504059958634, -22.53664905768118, 1.0
150, 0.49191601563661136, -23.16055801168643, 1.0
170, 0.4724856915252332, -23.510604040520633, 1.0
190, 0.4444401604263513, -24.04211135558402, 1.0
210, 0.4498956190239294, -23.9361419796897, 1.0
230, 0.4197382314062653, -24.538806710433114, 1.0
250, 0.4077246853565652, -24.791037149298816, 1.0
270, 0.3960228260949485, -25.043972888936217, 1.0
290, 0.38615824936216053, -25.263070927666824, 1.0
310, 0.37614605303706383, -25.491247078863214, 1.0
330, 0.37622907324505206, -25.48933021816511, 1.0
350, 0.3731859075942151, -25.559872570060755, 1.0
370, 0.3622260992957548, -25.818782476114606, 1.0
390, 0.3531284656882067, -26.0397227229505, 1.0
