SNR, RMSE, NMSE, prob
10, 7.4126937239556625, 0.4011438624977664, 0.46863636363636363
30, 4.944921969314854, -3.115188398388984, 0.7704545454545455
50, 2.692277597880021, -8.395980513141913, 0.9390909090909091
70, 1.5902300598115229, -12.96917809681199, 0.9827272727272728
90, 1.1044888201071987, -16.13515077654601, 0.9940909090909091
110, 0.8352159128033879, -18.562402053602533, 0.9981818181818182
130, 0.6776653144950131, -20.37807212574386, 0.9995454545454545
150, 0.602039940431188, -21.405871177674967, 1.0
170, 0.5801894731885928, -21.726980366937184, 1.0
190, 0.5369579751682703, -22.399571326890566, 1.0
210, 0.5376332606584938, -22.388654692568654, 1.0
230, 0.507349778168239, -22.892227779204127, 1.0
250, 0.4987870303488001, -23.04007422908324, 1.0
270, 0.48135726692164477, -23.349026609500356, 1.0
290, 0.46301647150963593, -23.68644844599988, 1.0
310, 0.44334093034609395, -24.06362069385286, 1.0
330, 0.4415273071352434, -24.09922590280049, 1.0
350, 0.43273062047252664, -24.27402472908382, 1.0
370, 0.4159022780264591, -24.6185512755251, 1.0
390, 0.4098288319967691, -24.746327105514908, 1.0
