SNR, RMSE, NMSE, prob
-12, 2.8524590990050056, -13.908082381158595, 0.9390909090909091
-11, 1.7293206226039874, -18.254960472839162, 0.985909090909091
-10, 1.1298399272356594, -21.95213252617158, 0.9981818181818182
-9, 0.939987143470507, -23.55003263532312, 0.9995454545454545
-8, 0.7623095843268392, -25.369843295470208, 1.0
-7, 0.6522641344269308, -26.72400091213188, 1.0
-6, 0.5806490148891672, -27.734197019081442, 1.0
-5, 0.4979480959732738, -29.068789366942998, 1.0
-4, 0.44613219071044996, -30.023199678863357, 1.0
-3, 0.42303794763516595, -30.484884344547766, 1.0
-2, 0.3739589958701863, -31.555991190838913, 1.0
-1, 0.356475839275932, -31.97186889655233, 1.0
0, 0.33624063111886815, -32.479467062010876, 1.0
1, 0.32514802142117516, -32.77084857869298, 1.0
2, 0.3064764262863885, -33.284529396024965, 1.0
3, 0.2942390999580661, -33.63846321549457, 1.0
4, 0.2887644078218218, -33.801597648579865, 1.0
5, 0.2827860483213954, -33.98331130923074, 1.0
6, 0.27547282582297233, -34.21089561166657, 1.0
7, 0.2693428845276844, -34.40636074392775, 1.0
8, 0.26134822499397325, -34.668079795427424, 1.0
9, 0.25559761555915167, -34.86133494060099, 1.0
10, 0.24805133980018948, -35.12163935552238, 1.0
11, 0.24013451922156703, -35.403378998817786, 1.0
12, 0.23069067087411618, -35.751870253817636, 1.0
