SNR, RMSE, NMSE, prob
10, 3.6976435276420907, -16.513269117587186, 0.8886363636363637
30, 0.7915494915869402, -29.902208418089042, 1.0
50, 0.6212655959990202, -32.00622383450023, 1.0
70, 0.544024296614929, -33.15940400029366, 1.0
90, 0.47933584611729396, -34.25897176955451, 1.0
110, 0.4445007213978159, -34.914320522457345, 1.0
130, 0.4151659894869452, -35.50733455670611, 1.0
150, 0.39760762198454236, -35.88267591398302, 1.0
170, 0.38544680362125816, -36.152480964280265, 1.0
190, 0.37573628953676624, -36.37410708478049, 1.0
210, 0.36561407665036927, -36.61131176583473, 1.0
230, 0.3543211586744757, -36.88382817695434, 1.0
250, 0.3468226270497623, -37.069621457729035, 1.0
270, 0.34196870277351427, -37.19204271355657, 1.0
290, 0.34347531448767477, -37.153859322077864, 1.0
310, 0.33501254706479716, -37.370548478034955, 1.0
330, 0.3329887898226134, -37.423177665448165, 1.0
350, 0.3302332433277593, -37.49535413008169, 1.0
370, 0.3301939285058821, -37.49638826484483, 1.0
390, 0.32565914859638695, -37.616504276342646, 1.0
