SNR, RMSE, NMSE, prob
-12, 5.698186386382921, -12.757036928373251, 0.7004545454545454
-11, 4.291184944846443, -15.220225274627413, 0.8386363636363636
-10, 2.784749316116198, -18.97604782099866, 0.9436363636363636
-9, 2.1458345352107124, -21.239845328724808, 0.9704545454545455
-8, 1.2160948879936198, -26.172420665216446, 0.9972727272727273
-7, 0.9054052891703548, -28.734909383938835, 1.0
-6, 0.765077965181523, -30.197656045910186, 1.0
-5, 0.6769111221137365, -31.261136938609507, 1.0
-4, 0.5825504918552246, -32.56509846626281, 1.0
-3, 0.50420066799138, -33.819701598301, 1.0
-2, 0.4499848651110083, -34.807811788942104, 1.0
-1, 0.40164099558590777, -35.79500923622834, 1.0
0, 0.382236990954043, -36.225115649500616, 1.0
1, 0.3560262796578273, -36.84212880563611, 1.0
2, 0.32745690307263986, -37.5686869295916, 1.0
3, 0.3214914529437375, -37.72838130527739, 1.0
4, 0.3108229132952911, -38.021509399262456, 1.0
5, 0.29919061893480137, -38.35281049381552, 1.0
6, 0.2919253462157889, -38.56633385186154, 1.0
7, 0.2928796779513214, -38.53798516814811, 1.0
8, 0.28733288813116026, -38.704063164535945, 1.0
9, 0.2879601006359877, -38.685123592021164, 1.0
10, 0.2813305377636111, -38.88743240198966, 1.0
11, 0.28222500269329487, -38.8598602238366, 1.0
12, 0.2808528186178248, -38.90219419720434, 1.0
