SNR, RMSE, NMSE, prob
-12, 5.118816881954687, -13.688378072761555, 0.7604545454545455
-11, 3.703088458680864, -16.500488194250437, 0.8822727272727273
-10, 2.3940579974546314, -20.289076595548327, 0.9581818181818181
-9, 1.3642843397173314, -25.17367206023637, 0.9913636363636363
-8, 0.977104057500056, -28.07295358798054, 0.9977272727272727
-7, 0.7243163941294031, -30.673203626158507, 0.9995454545454545
-6, 0.5859526673912584, -32.5145192165283, 1.0
-5, 0.49183288866204433, -34.03541860752212, 1.0
-4, 0.4441090425781719, -34.92197761165038, 1.0
-3, 0.39467785326449234, -35.946914786276324, 1.0
-2, 0.33581212277331995, -37.349842525087126, 1.0
-1, 0.29988894519992426, -38.332560801588336, 1.0
0, 0.27624856575117973, -39.045769282925235, 1.0
1, 0.2544465198432143, -39.75983962245062, 1.0
2, 0.22586451482201583, -40.79480983213025, 1.0
3, 0.21307481754484286, -41.301127429008886, 1.0
4, 0.20008724476140732, -41.84738185436024, 1.0
5, 0.19541426646667154, -42.05264460230221, 1.0
6, 0.18633780599703706, -42.465750377585906, 1.0
7, 0.17961153701055382, -42.7850853482807, 1.0
8, 0.1821699586065631, -42.662234735566415, 1.0
9, 0.182138474578394, -42.6637360251884, 1.0
10, 0.17727469547706637, -42.89883496891783, 1.0
11, 0.17803939054495793, -42.86144796177624, 1.0
12, 0.17472030322365717, -43.02490243812504, 1.0
