SNR, RMSE, NMSE, prob
-12, 5.557185053189369, -12.97467274800226, 0.7177272727272728
-11, 4.150626372690775, -15.509497121059123, 0.8563636363636363
-10, 3.1258191724947535, -17.97249292105094, 0.9272727272727272
-9, 2.1432439885724044, -21.2503376423261, 0.9727272727272728
-8, 1.5118332245458073, -24.28169222394942, 0.990909090909091
-7, 1.1264219986934179, -26.83774746173013, 0.9972727272727273
-6, 0.838106982703946, -29.40578075893585, 1.0
-5, 0.6987227958665886, -30.985671685683805, 1.0
-4, 0.5906774992269072, -32.444761368664764, 1.0
-3, 0.506351121638966, -33.7827344117777, 1.0
-2, 0.45397074007196464, -34.73121269757971, 1.0
-1, 0.4071462529875893, -35.67676108627991, 1.0
0, 0.3771083976342122, -36.342445858650066, 1.0
1, 0.3414799140181178, -37.20446666043506, 1.0
2, 0.32061919874006795, -37.75197944130898, 1.0
3, 0.30838359721681513, -38.089944529052374, 1.0
4, 0.294677999389353, -38.484815668836205, 1.0
5, 0.28918439926760986, -38.64827273030839, 1.0
6, 0.2836398753718568, -38.8164242105793, 1.0
7, 0.2837833938562354, -38.81203036799991, 1.0
8, 0.2744940020119701, -39.10111273773061, 1.0
9, 0.27275071087525177, -39.156452111232184, 1.0
10, 0.2726310200943812, -39.16026456229015, 1.0
11, 0.27016142002562377, -39.23930332234259, 1.0
12, 0.26713524872715144, -39.33714598867194, 1.0
