SNR, RMSE, NMSE, prob
-12, 5.811686335015766, -12.585726591631719, 0.685
-11, 4.454058707550444, -14.896651204605067, 0.8245454545454546
-10, 3.3280801597829193, -17.427894371380535, 0.9086363636363637
-9, 2.2088064452899876, -20.98861670986334, 0.965
-8, 1.3091445547055813, -25.532017857103565, 0.9927272727272727
-7, 0.9508133330515904, -28.309864669895394, 0.9972727272727273
-6, 0.6647425249435559, -31.418700691556054, 1.0
-5, 0.5297685867331018, -33.39004587878443, 1.0
-4, 0.47189317651790524, -34.39489596761054, 1.0
-3, 0.41283802276685705, -35.5561761508151, 1.0
-2, 0.37741681974377184, -36.33534492257942, 1.0
-1, 0.3551507609617842, -36.86351494105894, 1.0
0, 0.33676484875674606, -37.32523485284249, 1.0
1, 0.3202968022703598, -37.76071787152254, 1.0
2, 0.2994559119064737, -38.345112101688926, 1.0
3, 0.291559830562732, -38.57721614699137, 1.0
4, 0.2824538435685353, -38.852820145070496, 1.0
5, 0.27601076562693977, -39.053249499063526, 1.0
6, 0.27114237222474646, -39.20782210066676, 1.0
7, 0.27323289329403033, -39.14111031457672, 1.0
8, 0.2669169445330773, -39.34424702500116, 1.0
9, 0.2681867574576185, -39.30302334616333, 1.0
10, 0.26770071775336746, -39.31877922118727, 1.0
11, 0.26320150620761423, -39.46600252467974, 1.0
12, 0.26208736822332274, -39.50284813857768, 1.0
