SNR, RMSE, NMSE, prob
1, 0.39383199001561764, -35.96555013145851, 1.0
2, 0.3858557922255894, -36.14326945003122, 1.0
3, 0.37408508115616723, -36.41236215995503, 1.0
4, 0.3667160565611739, -36.58517141305167, 1.0
5, 0.3564871141075667, -36.83089320813553, 1.0
6, 0.3571722942071468, -36.814214662357415, 1.0
7, 0.35928988520433147, -36.76287010911238, 1.0
8, 0.354298456811418, -36.884384715534345, 1.0
9, 0.3299139946903241, -37.503755162586856, 1.0
10, 0.30510174058980116, -38.182876224321866, 1.0
