SNR, RMSE, NMSE, prob
-12, 4.145666262531021, -15.519883181537462, 0.8522727272727273
-11, 2.902183399934444, -18.617272871743445, 0.9359090909090909
-10, 1.989521499072493, -21.89679720248066, 0.9754545454545455
-9, 1.478598689938607, -24.474763586521707, 0.9881818181818182
-8, 0.9612608679471997, -28.214944671335594, 0.9977272727272727
-7, 0.7277901032505415, -30.63164702025961, 0.9995454545454545
-6, 0.6114660170410681, -32.14432342689691, 1.0
-5, 0.4986152668482144, -33.916458496702084, 1.0
-4, 0.4493379879673033, -34.82030719306596, 1.0
-3, 0.40567603857969337, -35.70818280494376, 1.0
-2, 0.3596905374881856, -36.75318968174181, 1.0
-1, 0.3334875153157698, -37.410178332236626, 1.0
0, 0.30972232043691916, -38.05231984387121, 1.0
1, 0.29380617181832397, -38.51055163787092, 1.0
2, 0.2787527414014701, -38.967386986843714, 1.0
3, 0.2679640775115554, -39.31023837700137, 1.0
4, 0.2603057970649814, -39.56209312202696, 1.0
5, 0.25521620108899873, -39.733605137105286, 1.0
6, 0.2554767056723652, -39.72474378074215, 1.0
7, 0.2523039957183073, -39.83328736419017, 1.0
8, 0.24628432185427096, -40.04303459780439, 1.0
9, 0.24306797569378877, -40.15721505196738, 1.0
10, 0.24153565094517537, -40.21214508950954, 1.0
11, 0.24595080749008164, -40.05480487496922, 1.0
12, 0.24327385421144887, -40.149861220122986, 1.0
