SNR, RMSE, NMSE, prob
2, 5.620296174913127, -9.515114008182687, 0.6946666666666667
3, 4.608494755889994, -11.06841306223825, 0.8003333333333333
4, 3.0525198079656604, -14.75949935951115, 0.9158333333333334
5, 1.316776858496335, -21.99561848490179, 0.9871666666666666
6, 0.5908238192442413, -28.842593329880852, 0.999
7, 0.45558573373761163, -30.92428748556204, 1.0
8, 0.4341165820118801, -31.519131201287887, 1.0
9, 0.431714020800819, -31.558057903076858, 1.0
10, 0.4293817802470738, -31.477125790291968, 1.0
11, 0.4026142822003478, -31.979355267661575, 1.0
12, 0.38320784208867, -32.44905962619235, 1.0
13, 0.3594275980908703, -33.04720272624507, 1.0
14, 0.32731898741972765, -33.98534598389915, 1.0
15, 0.30794015827848903, -34.55757603680346, 1.0
16, 0.2836555262656723, -35.332606651000624, 1.0
17, 0.2692291645432929, -35.90262197727555, 1.0
18, 0.2485995580313311, -36.69477574484651, 1.0
19, 0.24156789692645603, -37.09121872770602, 1.0
20, 0.23799777706192557, -37.369555870157996, 1.0
