SNR, RMSE, NMSE, prob
1, 9.275763420685243, 2.3486160057043244, 0.1618181818181818
2, 7.9886590177875965, 1.0511004268607513, 0.37863636363636366
3, 0.5109606160119837, -22.83062872724028, 1.0
4, 0.5732566572755761, -21.831395123358604, 0.9995454545454545
5, 0.5007330285215047, -23.0062524907975, 1.0
6, 0.49532211359955225, -23.10062291305462, 1.0
7, 0.48126546458793656, -23.350683301880373, 1.0
8, 0.46925006180973977, -23.570290491942036, 1.0
9, 0.4679390796928297, -23.59459093015235, 1.0
10, 0.46837146687238007, -23.586568661038235, 1.0
