SNR, RMSE, NMSE, prob
-12, 4.455107851217429, -5.097861075022464, 0.8265
-11, 3.4131454796229677, -7.402724179086331, 0.905
-10, 2.3107315098472836, -10.800689347170213, 0.9635
-9, 1.5875620227742526, -14.057714922267891, 0.9865
-8, 1.0810987795998883, -17.386345679127132, 0.996
-7, 0.7916760795996326, -20.107680986087452, 0.999
-6, 0.5960808607052297, -22.559181293453477, 1.0
-5, 0.5597394897071649, -23.10732578607615, 0.9995
-4, 0.5071041969203396, -23.962546038947153, 0.9995
-3, 0.38898225185475915, -26.265631521243414, 1.0
-2, 0.3473024667188495, -27.24801915183391, 1.0
-1, 0.3159001566071269, -28.082460339397798, 1.0
0, 0.28674269801140934, -28.907061599863848, 1.0
1, 0.26913801734860776, -29.463975418214645, 1.0
2, 0.2425557539352879, -30.36365751482932, 1.0
3, 0.22530384753325064, -31.00401855694196, 1.0
4, 0.21087820509241245, -31.588852556774448, 1.0
5, 0.20193392768113722, -31.95956318744116, 1.0
6, 0.20175366755188295, -31.97327264002584, 1.0
7, 0.19326755783155888, -32.346381286397296, 1.0
8, 0.18276873663317886, -32.822848396628494, 1.0
9, 0.17900073581298956, -33.01045126379253, 1.0
10, 0.1833022105827412, -32.7995419703162, 1.0
11, 0.18077595495785082, -32.92224139572241, 1.0
12, 0.17975340829851294, -32.98491140459077, 1.0
