SNR, RMSE, NMSE, prob
-12, 3.747043653268248, -6.601250463310267, 0.8835
-11, 2.856920043011214, -8.947858456135945, 0.939
-10, 2.0755100017667063, -11.733182467129819, 0.9715
-9, 1.413402840306589, -15.067009753633489, 0.9905
-8, 1.0353463492390609, -17.761940091792642, 0.9965
-7, 0.7840186815105801, -20.192103223130683, 0.999
-6, 0.7106473857844567, -21.032201587901813, 0.9985
-5, 0.5037305103183929, -24.023079610268184, 1.0
-4, 0.4440515590133754, -25.115822153635186, 1.0
-3, 0.3887113495619803, -26.271682818331787, 1.0
-2, 0.33895674030724987, -27.459291020427305, 1.0
-1, 0.3091960656746781, -28.268777980370977, 1.0
0, 0.285808714918651, -28.935399600889284, 1.0
1, 0.2561958158424623, -29.892035741335015, 1.0
2, 0.22978434947865645, -30.83348022950444, 1.0
3, 0.21362538640931122, -31.46633349659396, 1.0
4, 0.1972096142792527, -32.170924811462726, 1.0
5, 0.18869406013674783, -32.548584451826834, 1.0
6, 0.1858293227186721, -32.687416523615404, 1.0
7, 0.17772635357451194, -33.074523852969755, 1.0
8, 0.16979172667909082, -33.462556096124395, 1.0
9, 0.16429813116907688, -33.75489511783408, 1.0
10, 0.16701457112097146, -33.607808766978266, 1.0
11, 0.16416304927979855, -33.759546475651376, 1.0
12, 0.16228292081465467, -33.87299776692977, 1.0
