SNR, RMSE, NMSE, prob
2, 6.318156335041422, -8.498490699553674, 0.6118333333333333
3, 5.997712127039743, -8.77988267417997, 0.6575
4, 4.719235940700353, -10.975235361871107, 0.795
5, 2.416610190694042, -16.721730143797448, 0.9501666666666667
6, 0.8194612285601628, -26.00118503456801, 0.9968333333333333
7, 0.5278286566115685, -29.645830506553274, 0.9998333333333334
8, 0.4578845256222909, -31.056139367895703, 1.0
9, 0.4368984881183672, -31.454370136081767, 1.0
10, 0.4357718644139876, -31.348814303560477, 1.0
11, 0.4264775787188576, -31.479214727173716, 1.0
12, 0.4034985462578193, -32.00090789966791, 1.0
13, 0.35084160826377564, -33.2572092767982, 1.0
14, 0.32753162619690085, -33.97970513397763, 1.0
15, 0.3312079252634048, -33.92488820616584, 1.0
16, 0.31335509085311714, -34.46769653666019, 1.0
17, 0.31349152598583996, -34.58054793022179, 1.0
18, 0.31240059053684216, -34.710545865680615, 1.0
19, 0.29863994248074366, -35.24904522996277, 1.0
20, 0.2669900345971778, -36.371112851522376, 1.0
