SNR, RMSE, NMSE, prob
50, 0.5593839601380991, -23.106709476869327, 1.0
60, 0.5035044057792875, -24.03000071055832, 1.0
70, 0.48759781254964096, -24.310357978265863, 1.0
80, 0.4464331057649587, -25.07004009107431, 1.0
90, 0.4244136571562962, -25.51177262782001, 1.0
100, 0.39161631664139884, -26.205629954114205, 1.0
110, 0.36773833494617264, -26.759381772284243, 1.0
120, 0.36298880894996693, -26.86535079266196, 1.0
130, 0.3610612348908946, -26.909320793063078, 1.0
140, 0.34134835454657125, -27.414222106296634, 1.0
150, 0.31294670768092664, -28.154481210875538, 1.0
160, 0.3116868849193658, -28.198126977291395, 1.0
170, 0.3023033574715132, -28.44662768213354, 1.0
180, 0.2975845669214294, -28.59087635533053, 1.0
190, 0.29392130549719736, -28.7081666926527, 1.0
200, 0.28113969692210067, -29.094851175758425, 1.0
210, 0.28474360032617874, -28.975179396310477, 1.0
220, 0.2777104467385892, -29.2052785773468, 1.0
230, 0.2740047075507299, -29.306158061513223, 1.0
240, 0.26872771562665304, -29.47574453548404, 1.0
250, 0.2675004631761796, -29.517980454357193, 1.0
260, 0.2507605217075719, -30.08291513282158, 1.0
270, 0.2563994703328657, -29.879018074398655, 1.0
280, 0.25553867598639396, -29.91397828945604, 1.0
290, 0.24109607661030955, -30.410894352542886, 1.0
300, 0.24448076110496367, -30.310579065023866, 1.0
310, 0.23368283432579054, -30.692037547013324, 1.0
320, 0.2340879396040931, -30.673772300782606, 1.0
330, 0.23058830231681127, -30.809936150009225, 1.0
340, 0.22686413623947252, -30.938573399527947, 1.0
350, 0.2269141707229177, -30.945830748087168, 1.0
360, 0.22873322099720775, -30.875522181289796, 1.0
370, 0.2193241275479073, -31.255118829445216, 1.0
380, 0.21403443151081042, -31.46358357675546, 1.0
390, 0.20570459267888888, -31.78889765242267, 1.0
400, 0.218854287101246, -31.265609146929513, 1.0
