SNR, RMSE, NMSE, prob
-12, 7.225260775036681, -0.8979549904063209, 0.49
-11, 6.06193266119096, -2.4135980198753293, 0.647
-10, 4.892100903355052, -4.28577095603126, 0.7765
-9, 3.234919008086946, -7.875060711749788, 0.909
-8, 2.2763882091379632, -10.918726671913381, 0.958
-7, 1.5414169733904215, -14.320228707068164, 0.983
-6, 0.789040480337068, -20.123299153216408, 0.9985
-5, 0.6647997780155365, -21.61322742147819, 0.999
-4, 0.5534772334354989, -23.202494907887804, 0.9995
-3, 0.44030508577158817, -25.189153207865594, 1.0
-2, 0.38862580413790115, -26.271543836137813, 1.0
-1, 0.34751087642087775, -27.254089129133902, 1.0
0, 0.32615637213842064, -27.788391589744982, 1.0
1, 0.30763270307436674, -28.302826363573068, 1.0
2, 0.29098826091359997, -28.782379764687995, 1.0
3, 0.2797249607118671, -29.124766291919983, 1.0
4, 0.26405938114043914, -29.63545446231095, 1.0
5, 0.2573414541439893, -29.853554024584234, 1.0
6, 0.2559217590788775, -29.907557160407293, 1.0
7, 0.2504896398187005, -30.09376509794769, 1.0
8, 0.2496416497699772, -30.11454571389155, 1.0
9, 0.2421221810514933, -30.38685604010084, 1.0
10, 0.24075965476927244, -30.431221781864974, 1.0
11, 0.24404021260501405, -30.31582679014303, 1.0
12, 0.23963081714112253, -30.487600706133318, 1.0
