SNR, RMSE, NMSE, prob
-12, 4.093988254465344, -11.843706893640393, 0.855
-11, 2.608386060127557, -15.75920132938878, 0.951
-10, 1.588458059645771, -20.06712368951036, 0.988
-9, 1.3270705806657483, -21.62875830929499, 0.992
-8, 1.0473084285855354, -23.68514676690659, 0.996
-7, 0.699271808986154, -27.193718338811745, 1.0
-6, 0.5750951295643913, -28.89184494849115, 1.0
-5, 0.5265634111090853, -29.657625173740367, 1.0
-4, 0.44801110293893376, -31.060863197935902, 1.0
-3, 0.39625986137823704, -32.12703707516995, 1.0
-2, 0.34788050699037026, -33.25803685402755, 1.0
-1, 0.30659684991784913, -34.355284971648906, 1.0
0, 0.28281505029179527, -35.056588397351774, 1.0
1, 0.27940743849522554, -35.16187946281085, 1.0
2, 0.245802796525472, -36.274902348744774, 1.0
3, 0.2165627728573627, -37.374962671042766, 1.0
4, 0.21436084538406977, -37.46372951822317, 1.0
5, 0.19948521503174213, -38.08842447633043, 1.0
6, 0.18802649122502568, -38.60225790617994, 1.0
7, 0.17554220904066883, -39.1990075554373, 1.0
8, 0.17920266808715465, -39.019749311917046, 1.0
9, 0.16703786282302382, -39.63034024567287, 1.0
10, 0.16994181022871283, -39.48063393927095, 1.0
11, 0.17533048236303989, -39.209490188161865, 1.0
12, 0.16089092749584372, -39.95600763486393, 1.0
