SNR, RMSE, NMSE, prob
2, 5.808058780927913, -9.229677994764756, 0.674
3, 5.120103566244789, -10.154020100869465, 0.7555
4, 3.571679117737159, -13.395220482531677, 0.8981666666666667
5, 2.1925277930583733, -17.5669600486224, 0.9886666666666667
6, 2.1739915035784514, -17.526596395287633, 0.9995
7, 1.9594174453762645, -18.25315039894299, 0.995
8, 1.3957102962022683, -21.375353054247874, 0.9903333333333333
9, 0.8989335234509636, -25.18742944004998, 0.9975
10, 0.5982037298998337, -28.597015703848115, 1.0
11, 0.5230621545540125, -29.70607283680468, 0.9998333333333334
12, 0.46576662108258743, -30.75438015037259, 0.9998333333333334
13, 0.3976973587829211, -32.16837700534038, 1.0
14, 0.329643075344712, -33.92389082055984, 1.0
15, 0.28858022602895234, -35.121571225310056, 1.0
16, 0.2735410421966327, -35.647981686700035, 1.0
17, 0.2772646348514872, -35.6471744721675, 1.0
18, 0.2671247751014073, -36.070499398313494, 1.0
19, 0.25557337882108466, -36.60169080309819, 1.0
20, 0.2438763190893609, -37.15762125522582, 1.0
