SNR, RMSE, NMSE, prob
50, 2.4647603236397964, -1.7193708013030053, 0.9855
60, 2.398718044031948, -2.0031452645464456, 0.99
70, 2.3506688513208003, -2.1538404669210376, 0.9925
80, 2.276907855647866, -2.41622474583202, 0.9955
90, 2.3117224070989404, -2.296035955893761, 0.9945
100, 2.263721342599116, -2.4876661722892655, 0.9955
110, 2.2559515464277653, -2.5330518097392263, 0.9965
120, 2.2233243947102097, -2.6520385443485672, 0.9985
130, 2.2215399490838883, -2.6486797534004984, 0.998
140, 2.2244406838667734, -2.6547586442027504, 0.998
150, 2.186440523816138, -2.78783538431109, 1.0
160, 2.1997772837386025, -2.73436900761725, 0.9995
170, 2.1996893421717263, -2.7429914864478415, 0.9995
180, 2.210092900515913, -2.672584010586909, 0.999
190, 2.194420369688752, -2.7725956160221394, 1.0
200, 2.1902564141139806, -2.796539648004906, 1.0
210, 2.184815349674842, -2.791933560895253, 1.0
220, 2.1627723299396338, -2.914384295609273, 1.0
230, 2.182751860760625, -2.8010051673607435, 1.0
240, 2.210766306864676, -2.7113805314516313, 0.9995
250, 2.1966084649043087, -2.7430919191602183, 1.0
260, 2.1936052488510165, -2.7971703477875565, 1.0
270, 2.1857380706326874, -2.816364074102056, 1.0
280, 2.177319069017703, -2.8179840524039728, 1.0
290, 2.180198401714963, -2.8015836153241134, 1.0
300, 2.196112493712256, -2.7364663642656177, 1.0
310, 2.1809010862187104, -2.822468136052989, 1.0
320, 2.185692148608907, -2.7943373189358143, 1.0
330, 2.200558167384036, -2.7433353910074243, 1.0
340, 2.183319811440513, -2.770799108300615, 1.0
350, 2.2031418892789887, -2.697666768136164, 1.0
360, 2.171786118859705, -2.8437762225648044, 1.0
370, 2.2062514211355837, -2.731131692776907, 1.0
380, 2.189334109021884, -2.7753072072076774, 1.0
390, 2.1998624183699076, -2.729223211904496, 1.0
400, 2.2034968475348533, -2.7309962720798375, 1.0
