SNR, RMSE, NMSE, prob
-12, 8.851422329251644, 1.9418840045637604, 0.22818181818181818
-11, 8.190221460449221, 1.2675356351920262, 0.3427272727272727
-10, 7.35468930004785, 0.3329093575156666, 0.4772727272727273
-9, 6.255276207562052, -1.0734474536288663, 0.6263636363636363
-8, 4.8167438460623115, -3.3433062391694084, 0.7863636363636364
-7, 3.7093879792510345, -5.612332052891642, 0.8772727272727273
-6, 2.7346442269036033, -8.260360601624576, 0.9359090909090909
-5, 2.1526411040535063, -10.338944689818366, 0.9627272727272728
-4, 1.7193057229141577, -12.291315082774894, 0.9772727272727273
-3, 1.7728186064377154, -12.025091234889391, 0.9740909090909091
-2, 1.8283384903175084, -11.757245230493847, 0.9713636363636363
-1, 1.809647244896416, -11.846498754737825, 0.9713636363636363
0, 1.6646691200061867, -12.57181880779211, 0.975909090909091
1, 1.3597504623584908, -14.329192950213823, 0.985
2, 1.6918172711331834, -12.431308187299823, 0.9745454545454545
3, 1.5678258596474013, -13.092420799308154, 0.9786363636363636
4, 1.7004669933739949, -12.387013135351022, 0.9740909090909091
5, 1.599885980354229, -12.916596610017033, 0.9772727272727273
6, 1.683834039655119, -12.472391569998194, 0.9745454545454545
7, 1.7221075934704477, -12.277171626295164, 0.9731818181818181
8, 1.8476493271083285, -11.665986310558267, 0.9686363636363636
9, 2.034107174224999, -10.830900644783268, 0.9613636363636363
10, 1.9887579939266635, -11.026738513436623, 0.9631818181818181
11, 2.0745233743567395, -10.660010619069746, 0.9595454545454546
12, 1.9153540634602495, -11.353395917481613, 0.9659090909090909
