Separation, RMSE, NMSE, prob
2, 0.8694006245560197, -12.711794458503503, 0.9975
4, 7.193707478227504, 7.031816823698315, 0.504
6, 3.755392844596648, -1.780481854920279, 0.929
8, 4.686118171003878, -2.176815386856741, 0.8
10, 1.867815583894682, -11.99664293227044, 0.969
12, 0.8666250309514444, -20.17821888783243, 0.9945
14, 0.34104254902836584, -29.566049731769127, 1.0
16, 0.26991024500217276, -32.71897772117473, 1.0
18, 0.2561875320364798, -34.165146002254765, 1.0
20, 0.2303138039697675, -35.980960676796684, 1.0
22, 0.2546222730195653, -35.91756672471622, 1.0
24, 0.4357842060724608, -31.98940043556324, 0.9995
26, 0.17806722889244503, -40.44448332512629, 1.0
28, 0.406813861758414, -33.90001888717457, 0.9995
30, 0.5859761320405408, -31.319265283816154, 0.998
32, 0.2932228006688298, -37.88444030678023, 1.0
34, 0.8838455058318034, -28.819466881424063, 0.9945
36, 0.3303528655191147, -37.8568106547175, 0.9995
38, 0.5428853086166047, -34.00548528211342, 0.9985
40, 0.6383851497011148, -33.03780687503923, 0.9995
