SNR, RMSE, NMSE, prob
50, 3.5991377384847345, 1.5691046592515692, 0.902
60, 3.502502095840728, 1.2848387707797153, 0.9075
70, 3.3593798593012227, 0.947512765144277, 0.9155
80, 3.205761165923461, 0.555489417156284, 0.925
90, 3.1083061571226867, 0.2757261669451476, 0.9295
100, 2.9194692244707117, -0.27804745100790185, 0.939
110, 2.7975586289294223, -0.664063223852326, 0.9445
120, 2.612205864578284, -1.2519472049183455, 0.955
130, 2.6102583744237062, -1.2480923458525888, 0.9535
140, 2.525338322508941, -1.5527838483959742, 0.956
150, 2.6842221035199016, -1.0062197793506635, 0.9485
160, 2.337563102389093, -2.206676397253082, 0.9645
170, 2.3996189538590214, -1.9873728255061949, 0.962
180, 2.3197247978663635, -2.2520652979329907, 0.9655
190, 2.2386431164530483, -2.599294853964798, 0.967
200, 2.098559408804222, -3.1680134984694557, 0.9745
210, 2.0827300769628447, -3.2075685519605384, 0.9755
220, 2.05577221376936, -3.35510055389237, 0.975
230, 2.1290537982088824, -3.0173597979722944, 0.9715
240, 2.004144331846162, -3.563657378071885, 0.977
250, 1.8727129836941094, -4.128720546633431, 0.9825
260, 2.1070102796121377, -3.1470067915909485, 0.973
270, 1.8944523308129995, -4.05865277327514, 0.98
280, 1.7658412793675817, -4.637392276823004, 0.986
290, 1.8613959438119647, -4.174728689882388, 0.9835
300, 1.9593438903553804, -3.7273446770346617, 0.9775
310, 1.7649095163307995, -4.6607386156849815, 0.9845
320, 1.7747219159304564, -4.603510914871369, 0.9835
330, 1.8156432895402, -4.413381868740328, 0.981
340, 1.7729519855621458, -4.579206732721005, 0.984
350, 1.7512669314723237, -4.691469185251912, 0.9845
360, 1.898299276395631, -4.012823638217941, 0.9775
370, 1.9006901426887615, -4.026005294454274, 0.978
380, 1.7440359973514281, -4.750439179706316, 0.983
390, 1.656785413945271, -5.191808372013053, 0.986
400, 1.5912673247172242, -5.558382042162572, 0.9885
