SNR, RMSE, NMSE, prob
1, 2.8491178850990586, -8.869920799810954, 0.93075
2, 0.7213145577851442, -20.80163523261673, 0.997
3, 0.5439194670865924, -23.253437126205387, 0.999
4, 0.5017811966859876, -23.953841521233525, 0.99975
5, 0.6187806298921869, -22.133394974862746, 0.9985
6, 0.4019775963802853, -25.880092199277765, 1.0
7, 0.386880962352092, -26.212581989927767, 1.0
8, 0.4893623455120901, -24.171518198062817, 0.99875
9, 0.4260174218586189, -25.375581983148294, 0.99925
10, 0.3977781790388373, -25.971310073360307, 0.9995
