SNR, RMSE, NMSE, prob
-12, 7.053818092727768, 7.3667484180997995, 0.527
-11, 6.409395413472066, 6.560935742836373, 0.616
-10, 5.589872161475744, 5.381281699489704, 0.7145
-9, 3.8901249476684825, 2.230749835596367, 0.8735
-8, 2.4961517977133725, -1.6745223472742776, 0.956
-7, 1.5710191340996325, -5.677077290119997, 0.988
-6, 1.2322987267033152, -7.75890278942907, 0.994
-5, 1.1550977648572285, -8.357959166215577, 0.9935
-4, 1.058308348832749, -9.09881271002094, 0.9935
-3, 1.1353813515265185, -8.471826178038874, 0.9915
-2, 0.8407509500197409, -11.11019253237101, 0.9965
-1, 0.8379988482200731, -11.116894799605678, 0.996
0, 0.8816467874310997, -10.659215259030344, 0.995
1, 0.8403137631579121, -11.06829753574929, 0.9955
2, 0.8251069009612894, -11.276453444019719, 0.9955
3, 0.5642735707438761, -14.548609869700291, 0.999
4, 0.5963812463412147, -14.082125333927234, 0.9985
5, 0.6380413407498476, -13.497370170525864, 0.998
6, 0.6001717659130069, -14.016962515239925, 0.9985
7, 0.6708527005844868, -13.019739519742915, 0.9975
8, 0.6347465259594632, -13.565403736092579, 0.998
9, 0.7434462352892358, -12.200497607240122, 0.9965
10, 0.5370598054085393, -14.9712688325101, 0.999
11, 0.5779839820015493, -14.333154872463004, 0.9985
12, 0.48508365474526416, -15.847570242114026, 0.9995
