SNR, RMSE, NMSE, prob
50, 1.9187833097262683, -3.894346044732542, 0.975
60, 1.8788015397927713, -4.125111157029325, 0.9755
70, 1.695286388454643, -4.9928080163732815, 0.98
80, 1.7728226246558831, -4.589828144862164, 0.977
90, 1.56971687877765, -5.658323043880653, 0.982
100, 1.4320158361655786, -6.465169066892795, 0.9855
110, 1.3254096859679128, -7.152644360499302, 0.9885
120, 1.191903280142027, -8.067274908446024, 0.991
130, 1.2177724658497457, -7.870439294918158, 0.99
140, 1.1311958072178372, -8.528419499342201, 0.9915
150, 1.221730018439704, -7.843083848812752, 0.9895
160, 1.1575348719240266, -8.311261597362119, 0.9905
170, 1.1667199112522377, -8.25088630620533, 0.9905
180, 0.983430941726041, -9.705917232562634, 0.994
190, 1.0373219402508336, -9.280720861136672, 0.9925
200, 1.1118621107124378, -8.685420246824426, 0.991
210, 0.8316897921709581, -11.18100090429872, 0.9965
220, 1.1066871608608013, -8.734102958035876, 0.991
230, 0.9162061120639876, -10.34122881671606, 0.9945
240, 0.9764151935745718, -9.80954670021794, 0.9935
250, 0.8806485092794659, -10.682092891073427, 0.995
260, 0.771974707911286, -11.868278443378674, 0.997
270, 0.7486001002693108, -12.123328790431238, 0.997
280, 0.6781954134270466, -12.949328608270125, 0.998
290, 0.8059529685561777, -11.445309968751998, 0.996
300, 0.7646138142525185, -11.900715214655913, 0.9965
310, 0.7277528830998883, -12.355508819256496, 0.997
320, 0.6161983992535573, -13.791705847469926, 0.9985
330, 0.7264566684500727, -12.36979815243053, 0.997
340, 0.641182218925818, -13.413516817355525, 0.998
350, 0.6031934758183821, -13.949383417254722, 0.9985
360, 0.5150507707560638, -15.343116453740143, 0.9995
370, 0.6507335766402695, -13.336167420384779, 0.998
380, 0.5127475788389058, -15.383475705790419, 0.9995
390, 0.5953198484655393, -14.082126370229746, 0.9985
400, 0.6671652669071941, -13.108576371568486, 0.9975
