SNR, RMSE, NMSE, prob
-12, 8.212922235813393, 4.3806031450190455, 0.3559090909090909
-11, 8.117073755686157, 4.278638778838267, 0.375
-10, 8.077729162105927, 4.23643467788347, 0.3836363636363636
-9, 7.991453832647256, 4.143164824367454, 0.3990909090909091
-8, 8.02471038839861, 4.179236276728495, 0.395
-7, 7.971563863496973, 4.121519505722587, 0.4018181818181818
-6, 7.9456129318084425, 4.093197022844155, 0.4040909090909091
-5, 7.934761996635654, 4.081327016664219, 0.39954545454545454
-4, 7.549122318016599, 3.6485781754387014, 0.4536363636363636
-3, 6.8926981489863985, 2.8584341171402983, 0.5418181818181819
-2, 5.91385444325861, 1.528061535620575, 0.6618181818181819
-1, 4.289394171646004, -1.2614319331567838, 0.8263636363636364
0, 2.930396397754795, -4.570823640227818, 0.9218181818181819
1, 1.4555721269102317, -10.648676465724506, 0.985
2, 0.8501295577927183, -15.319648751615366, 0.9972727272727273
3, 0.6368176108122586, -17.829049777387382, 0.9990909090909091
4, 0.5066739524554902, -19.814779501974865, 1.0
5, 0.45668673917781133, -20.716983051458403, 1.0
6, 0.40808514056114226, -21.694335449829683, 1.0
7, 0.3833732224781547, -22.236915574058337, 1.0
8, 0.3675422740600871, -22.603205115893594, 1.0
9, 0.34000313394714216, -23.279692674537774, 1.0
10, 0.33399962023837526, -23.434431611571185, 1.0
11, 0.31515091584668775, -23.938979596865995, 1.0
12, 0.31034388019352127, -24.072487370821595, 1.0
