Separation, RMSE, NMSE, prob
2, 8.625829912399432, 7.219824390673191, 0.2585
4, 7.204874779545973, 7.045290089957418, 0.5025
6, 5.933090759704406, 2.192030493734653, 0.666
8, 0.6959637448625531, -18.741347782842873, 1.0
10, 0.4429026255729747, -24.49715772686367, 1.0
12, 0.3288229035926956, -28.595602263078973, 1.0
14, 0.2297619013155636, -32.996660716444254, 1.0
16, 0.1622739816265349, -37.13838726278905, 1.0
18, 0.14635642721682446, -39.02806981855315, 1.0
20, 0.12177726679783532, -41.516035596615964, 1.0
22, 0.1215695936197029, -42.33899524133636, 1.0
24, 0.12768024710424664, -42.65235587048056, 1.0
26, 0.14872048535937601, -42.00874744681918, 1.0
28, 0.1681758415735151, -41.572661547356226, 1.0
30, 0.16081667557605564, -42.550242216449526, 1.0
32, 0.15934842186965167, -43.18143972259801, 1.0
34, 0.15000030787141636, -44.22515103209288, 1.0
36, 0.16101176290981348, -44.09922011831646, 1.0
38, 0.17515502785933176, -43.83119489690951, 1.0
40, 0.17113206391090863, -44.4728346281681, 1.0
