SNR, RMSE, NMSE, prob
2, 7.110351153087277, -7.472477067194058, 0.5
3, 7.1564089371225945, -7.245692026898245, 0.5
4, 7.217957374051622, -7.2843829155011, 0.5008333333333334
5, 7.212455945217376, -7.224198726003923, 0.5111666666666667
6, 6.449159186784151, -8.081691305900303, 0.6038333333333333
7, 3.91663672798608, -12.23742396377057, 0.8561666666666666
8, 1.5823551066828623, -20.285179641117374, 0.981
9, 0.699486409560606, -27.366395354333086, 0.999
10, 0.5251434350280512, -29.72843922364905, 1.0
11, 0.4611232570458171, -30.800798270612013, 1.0
12, 0.4236738253457527, -31.57711470639935, 1.0
13, 0.39933441577534906, -32.132696329068914, 1.0
14, 0.37443466365660877, -32.817249020413406, 1.0
15, 0.3635178023606078, -33.116388926338225, 1.0
16, 0.3506114682593268, -33.491909282619844, 1.0
17, 0.34146138793988057, -33.83823202227005, 1.0
18, 0.33281323154133646, -34.16077110773619, 1.0
19, 0.3281356795325545, -34.430933984064936, 1.0
20, 0.3315723490099928, -34.48944776330862, 1.0
