SNR, RMSE, NMSE, prob
50, 0.5916588172600281, -22.619482840194728, 1.0
60, 0.5301548172969627, -23.58201197191371, 1.0
70, 0.5263544680621253, -23.64602667324131, 1.0
80, 0.49343624356566845, -24.200547028815862, 1.0
90, 0.47972798424462554, -24.447658576082727, 1.0
100, 0.4471353203768426, -25.05406597532792, 1.0
110, 0.42910278405415486, -25.418933233321095, 1.0
120, 0.4265824044456848, -25.46315675256334, 1.0
130, 0.43013364331342124, -25.388869803858878, 1.0
140, 0.4041900456310101, -25.94646610960179, 1.0
150, 0.3914336610967976, -26.21072555396914, 1.0
160, 0.37462113431274763, -26.600652057389688, 1.0
170, 0.3710170534801329, -26.667609653382076, 1.0
180, 0.36387868511661653, -26.843952110057504, 1.0
190, 0.36418912074822307, -26.84624868818028, 1.0
200, 0.3542246260373062, -27.087719612534585, 1.0
210, 0.3560844486251435, -27.033198695782417, 1.0
220, 0.35248353418733364, -27.134346232964944, 1.0
230, 0.3465985327034321, -27.264784150905506, 1.0
240, 0.33974820965804897, -27.43885020537536, 1.0
250, 0.3335923445229824, -27.600149708503775, 1.0
260, 0.3401663403165342, -27.43427167363352, 1.0
270, 0.33420274295198377, -27.5771603477033, 1.0
280, 0.3359746702317957, -27.536980368052696, 1.0
290, 0.32491431706976653, -27.819320242978204, 1.0
300, 0.32612100980223957, -27.807897275343247, 1.0
310, 0.32208811398411474, -27.905079810652033, 1.0
320, 0.31251969325938295, -28.163805294850622, 1.0
330, 0.3158077731384908, -28.078225281162517, 1.0
340, 0.3249789366562511, -27.816786052724947, 1.0
350, 0.31391952143106716, -28.126696641558947, 1.0
360, 0.3082250359926981, -28.284748856101444, 1.0
370, 0.305109222203736, -28.387740342690748, 1.0
380, 0.2996404304366772, -28.541248201397615, 1.0
390, 0.29636887935750295, -28.61712545500832, 1.0
400, 0.30465118275288894, -28.39265294340219, 1.0
