SNR, RMSE, NMSE, prob
-12, 2.972657226089742, -12.824955334187166, 0.9381818181818182
-11, 1.9485693067278658, -16.49353486456728, 0.9831818181818182
-10, 1.3046448941421303, -19.978005634141766, 0.9990909090909091
-9, 1.0036207387274672, -22.256459481536574, 1.0
-8, 0.8767948746833711, -23.42989195899426, 1.0
-7, 0.7225354601351031, -25.11066870365276, 1.0
-6, 0.6376287734739319, -26.196493887519864, 1.0
-5, 0.561495425160015, -27.300927564365438, 1.0
-4, 0.5048968330429535, -28.223799084074965, 1.0
-3, 0.4614999215157824, -29.004419389607882, 1.0
-2, 0.4206041418431517, -29.810381121223728, 1.0
-1, 0.39187874000440454, -30.42481794988301, 1.0
0, 0.378741961122755, -30.720983548494765, 1.0
1, 0.3588860422818239, -31.188720655901886, 1.0
2, 0.3502258887565363, -31.40088709760455, 1.0
3, 0.3357321796729009, -31.767992611632057, 1.0
4, 0.32703997431420545, -31.995835216938723, 1.0
5, 0.3209932148101752, -32.157934976708916, 1.0
6, 0.3132723091476382, -32.36941185422163, 1.0
7, 0.3052157806004027, -32.595712330189585, 1.0
8, 0.30002353916255153, -32.74474541838436, 1.0
9, 0.2911176610369131, -33.006480952463136, 1.0
10, 0.28369550256989845, -33.23080299456497, 1.0
11, 0.2765349628192724, -33.452851055376065, 1.0
12, 0.26797756317428195, -33.72588334833662, 1.0
