Separation, RMSE, NMSE, prob
2, 8.591447339922416, 7.185133234502318, 0.2645
4, 7.211313885346493, 7.053049334424953, 0.5
6, 7.386681202727656, 4.095397775628146, 0.5
8, 8.132067898549021, 2.61093981322595, 0.394
10, 7.201525440535984, -0.274832838731341, 0.508
12, 0.825048870779427, -20.605249977702215, 1.0
14, 0.30038689078075, -30.668601532083628, 1.0
16, 0.20603465486547365, -35.064559619478366, 1.0
18, 0.1522585652069184, -38.68467114270946, 1.0
20, 0.12353515501332228, -41.39154875421114, 1.0
22, 0.12941352391942418, -41.79590127693369, 1.0
24, 0.1422317343674286, -41.71490004398023, 1.0
26, 0.17916402027143974, -40.39114734832975, 1.0
28, 0.20006813454257588, -40.06437528492151, 1.0
30, 0.1737128856553421, -41.88022312422141, 1.0
32, 0.17923110459835384, -42.160127430276034, 1.0
34, 0.16034647399884908, -43.64580575512822, 1.0
36, 0.15565887159416897, -44.39289466381166, 1.0
38, 0.1707839457142973, -44.05070620216592, 1.0
40, 0.1737554283215387, -44.34069476381097, 1.0
