SNR, RMSE, NMSE, prob
2, 7.109497629708761, -7.473519780093673, 0.5001666666666666
3, 7.154713362721014, -7.247750226372137, 0.5001666666666666
4, 7.213909867501484, -7.2892549387171055, 0.5003333333333333
5, 7.289862810438135, -7.13147508850702, 0.5006666666666667
6, 7.392453334669916, -6.89598141014645, 0.5
7, 7.610693432661143, -6.467205238630237, 0.4796666666666667
8, 8.27887437786454, -5.911832845794402, 0.36583333333333334
9, 8.907081027079386, -5.267272911324419, 0.23666666666666666
10, 7.972576452715232, -6.1020241841868135, 0.38966666666666666
11, 4.355726952742201, -11.29592585766548, 0.8348333333333333
12, 1.6072836963593355, -19.99589659858347, 0.986
13, 0.6952376194252213, -27.316765863393226, 0.9996666666666667
14, 0.46364075867085003, -30.96113780754405, 1.0
15, 0.39855578496138694, -32.317120265758426, 1.0
16, 0.3740921704704983, -32.92885925658606, 1.0
17, 0.37328151282220456, -33.06433441682865, 1.0
18, 0.36205408799815864, -33.42931367854988, 1.0
19, 0.3553769986119066, -33.7382167925324, 1.0
20, 0.35579013985703334, -33.8771357210002, 1.0
