SNR, RMSE, NMSE, prob
-12, 7.6660871040936, -10.180294940236493, 0.4159090909090909
-11, 6.826489942573101, -11.18782083063978, 0.5377272727272727
-10, 6.023851586418086, -12.274284666720696, 0.6409090909090909
-9, 4.795933298540926, -14.254307244103323, 0.7736363636363637
-8, 3.553174897283043, -16.85943823082321, 0.8772727272727273
-7, 2.4656134759669706, -20.033270028184546, 0.9422727272727273
-6, 1.5494648935302489, -24.068135107533433, 0.9786363636363636
-5, 0.8340781562993438, -29.44763497829122, 0.995
-4, 0.4568955008721131, -34.67543229499984, 0.9995454545454545
-3, 0.3596171457950918, -36.75496213889346, 1.0
-2, 0.3414773032429145, -37.204533078494954, 1.0
-1, 0.3150141171825687, -37.90516959406616, 1.0
0, 0.2979440551140012, -38.38907543948748, 1.0
1, 0.2915619475977356, -38.57715307405654, 1.0
2, 0.28722849044342563, -38.707219614425156, 1.0
3, 0.2812716241855718, -38.889251496360146, 1.0
4, 0.2777888371025598, -38.99747414440664, 1.0
5, 0.273498374265647, -39.13267494561248, 1.0
6, 0.27456197454989023, -39.09896214532693, 1.0
7, 0.27009801581145854, -39.241342057867314, 1.0
8, 0.26970775071428504, -39.253901385911114, 1.0
9, 0.26937226660926794, -39.26471231594914, 1.0
10, 0.2677724998104936, -39.31645048354176, 1.0
11, 0.2687413975088987, -39.285078509727725, 1.0
12, 0.2698261906797145, -39.25008788207902, 1.0
