Separation, RMSE, NMSE, prob
2, 10.0, -7.871769934975456, 0.0
4, 10.0, -7.871769930280412, 0.0
6, 9.685561170696623, -8.14927417631535, 0.06409090909090909
8, 7.522855039534206, -10.344116063724309, 0.43863636363636366
10, 4.040807931416461, -15.74240578376704, 0.8490909090909091
12, 5.002734004554977, -13.887621701876899, 0.775
14, 4.213100655696228, -15.379733226954277, 0.8486363636363636
16, 1.9614710032748417, -22.02013208077097, 0.9677272727272728
18, 0.3624441544191465, -36.6869479201203, 1.0
20, 0.26905898982737464, -39.274819781134774, 1.0
