SNR, RMSE, NMSE, prob
-12, 4.117190604954334, -15.579750482860035, 0.8568181818181818
-11, 2.9939878585158692, -18.346769228191235, 0.9304545454545454
-10, 1.968729297109642, -21.98804985674351, 0.9763636363636363
-9, 1.3390413650345496, -25.335890075473905, 0.9922727272727273
-8, 0.9325610066662908, -28.47822487720825, 0.9986363636363637
-7, 0.6966986688375371, -31.010870313426537, 1.0
-6, 0.5899362798726027, -32.4556678244375, 1.0
-5, 0.5007844415758058, -33.87875338274985, 1.0
-4, 0.4544972483013699, -34.72114476811932, 1.0
-3, 0.40706008295539, -35.678599597265986, 1.0
-2, 0.3556218317603012, -36.852001633837766, 1.0
-1, 0.33807976291427744, -37.291386431908016, 1.0
0, 0.3095494006635099, -38.05717057108561, 1.0
1, 0.2952743084256647, -38.467256707329085, 1.0
2, 0.2765417896282997, -39.03655455212205, 1.0
3, 0.26808749157723594, -39.306238910626725, 1.0
4, 0.2587555549667391, -39.61397629323808, 1.0
5, 0.2562245355970887, -39.69935564446228, 1.0
6, 0.25877102239139604, -39.61345709665815, 1.0
7, 0.24754736846262854, -39.99860365565758, 1.0
8, 0.24795475816088683, -39.98432099529113, 1.0
9, 0.24576232367609044, -40.061463833130134, 1.0
10, 0.24432442456493497, -40.11243223743236, 1.0
11, 0.24177330230609395, -40.20360309245522, 1.0
12, 0.23550095661612358, -40.43191642095383, 1.0
