SNR, RMSE, NMSE, prob
-12, 9.089644874758136, -8.700831617389444, 0.1859090909090909
-11, 8.89536511314836, -8.888494366942991, 0.22272727272727272
-10, 8.76411310223898, -9.01761045520322, 0.24818181818181817
-9, 8.602655968592245, -9.179118835471794, 0.2781818181818182
-8, 8.66378485365527, -9.117616754491237, 0.2686363636363636
-7, 8.624070353123864, -9.157524118965455, 0.2772727272727273
-6, 8.675171865303948, -9.10620818420363, 0.2690909090909091
-5, 8.895225804318265, -8.888630404648575, 0.22954545454545455
-4, 8.962500498108804, -8.823186066884038, 0.21727272727272728
-3, 9.021960715434677, -8.765751295516228, 0.20636363636363636
-2, 9.265384029541085, -8.534501443534015, 0.15863636363636363
-1, 9.406852332534656, -8.402883398034737, 0.1290909090909091
0, 9.511961876108233, -8.306367911290234, 0.10727272727272727
1, 9.522869445477495, -8.296413326178774, 0.105
2, 9.632172507654067, -8.197284893929519, 0.08181818181818182
3, 9.64668866406076, -8.184204685063591, 0.07909090909090909
4, 9.758805839503786, -8.083836385105279, 0.05409090909090909
5, 9.78724133543042, -8.05856398228624, 0.04818181818181818
6, 9.764239640794893, -8.079001337505, 0.053181818181818184
7, 9.807186008998965, -8.0408816807632, 0.04363636363636364
8, 9.80598271763387, -8.041947461300435, 0.04409090909090909
9, 9.792653560946595, -8.053762113724476, 0.04727272727272727
10, 9.822102273377995, -8.0276809023626, 0.04045454545454545
11, 9.821053186631916, -8.028608671716057, 0.04090909090909091
12, 9.798174915278327, -8.04886615828045, 0.045909090909090906
