Separation, RMSE, NMSE, prob
2, 8.405205970131815, -9.380802728553904, 0.3054545454545455
4, 9.507578720521236, -8.310371331181871, 0.10818181818181818
6, 3.954308772168074, -15.93035837917586, 0.8872727272727273
8, 0.3288687263475459, -37.53131840294981, 1.0
10, 0.23660185198070643, -40.391407148628275, 1.0
12, 0.2193926881877506, -41.047326952420605, 1.0
14, 0.23688881260009903, -40.38087890654797, 1.0
16, 1.6176307417407128, -23.694182091509287, 0.975
18, 1.3755526100128583, -25.10222580966715, 0.9840909090909091
20, 0.6737854032277841, -31.301337962188583, 1.0
