SNR, RMSE, NMSE, prob
-12, 8.836575847651558, 1.9273029325195503, 0.23136363636363635
-11, 8.31897584390742, 1.4030200019100239, 0.32181818181818184
-10, 7.4312014200788905, 0.42280338929174816, 0.465
-9, 6.184824536116974, -1.171829593922565, 0.6368181818181818
-8, 4.993077025992984, -3.0310119410667373, 0.7686363636363637
-7, 3.7678924643912683, -5.47640727801499, 0.8740909090909091
-6, 2.8847230821256864, -7.7962946808876605, 0.9290909090909091
-5, 2.090280539067719, -10.594285725817983, 0.9659090909090909
-4, 1.9827597821332348, -11.052975246852972, 0.9686363636363636
-3, 1.9892803646751693, -11.024457345722013, 0.9672727272727273
-2, 1.7685625892989332, -12.045968582845283, 0.975
-1, 1.806036592986991, -11.86384635999445, 0.9731818181818181
0, 1.7795619969348042, -11.992114810315195, 0.9740909090909091
1, 1.7647598344372974, -12.064665048071504, 0.9745454545454545
2, 1.7226208890703334, -12.27458307175348, 0.975909090909091
3, 1.8110845559699256, -11.839602725779821, 0.9727272727272728
4, 1.6916828611663322, -12.4319982859434, 0.9768181818181818
5, 1.6384943198862358, -12.709478464537456, 0.9786363636363636
6, 1.721059396861818, -12.282460097210873, 0.975909090909091
7, 1.9535445619831604, -11.1819108367604, 0.9672727272727273
8, 1.88068652615111, -11.512049005377921, 0.97
9, 1.9516787637550905, -11.190210539940251, 0.9672727272727273
10, 1.8801184669703532, -11.514672957620562, 0.97
11, 1.8669932046055753, -11.57552253111453, 0.9704545454545455
12, 1.960635333623978, -11.150440758713284, 0.9668181818181818
