SNR, RMSE, NMSE, prob
-12, 8.398406504190545, 1.4855605774282048, 0.31227272727272726
-11, 8.293748191338496, 1.376639647428103, 0.33090909090909093
-10, 8.172769086780134, 1.2490073029604258, 0.34863636363636363
-9, 7.62855043938685, 0.6504631845178728, 0.4354545454545454
-8, 6.904947500653876, -0.21516963815474358, 0.5386363636363637
-7, 5.625011918774007, -1.9959083286555777, 0.6986363636363636
-6, 3.980370586885986, -4.999907105294021, 0.8545454545454545
-5, 2.384538267574026, -9.45029134047093, 0.9531818181818181
-4, 1.4379973458068018, -13.843215581698654, 0.9868181818181818
-3, 0.9650459260033574, -17.30741763071507, 0.9959090909090909
-2, 0.6031734301648584, -21.389533212723734, 1.0
-1, 0.5258758936783412, -22.58071200897278, 1.0
0, 0.49580054439270904, -23.092237278297567, 1.0
1, 0.43911067782169416, -24.14689730443378, 1.0
2, 0.4190899179911136, -24.552232994448374, 1.0
3, 0.3957731261253648, -25.049451242378122, 1.0
4, 0.37598356138112604, -25.495000128282562, 1.0
5, 0.36319291563845024, -25.795629894302404, 1.0
6, 0.3514903365863841, -26.08010948268276, 1.0
7, 0.3427164168564265, -26.299679111200874, 1.0
8, 0.33871414237111547, -26.401710664812082, 1.0
9, 0.33790800938213833, -26.422407553363488, 1.0
10, 0.3258555172167165, -26.73787568844569, 1.0
11, 0.3266913986703272, -26.715623270520886, 1.0
12, 0.3241772873011483, -26.78272558339099, 1.0
