Separation, RMSE, NMSE, prob
2, 9.8100690372077, -8.038328661234079, 0.04
4, 0.8515760515344554, -29.267301140635347, 1.0
6, 0.4634848235956395, -34.55105958040906, 1.0
8, 0.37767225941887933, -36.329468201690844, 1.0
10, 0.35006492909815, -36.98879787099461, 1.0
12, 0.33207336784058117, -37.44708900812267, 1.0
14, 0.3231942880166954, -37.68249639451417, 1.0
16, 0.32093611788345383, -37.74339802649444, 1.0
18, 0.319374384477637, -37.78576830554177, 1.0
20, 0.31866197904585053, -37.80516494767349, 1.0
