SNR, RMSE, NMSE, prob
-12, 0.5905313375970601, -32.44691094709862, 1.0
-11, 0.5011804277034785, -33.87188787675746, 1.0
-10, 0.461223656997323, -34.5935384343489, 1.0
-9, 0.41098551555094964, -35.59523960653859, 1.0
-8, 0.38671105850657017, -36.12403810575768, 1.0
-7, 0.36988941506368644, -36.51033185888188, 1.0
-6, 0.3520072070586883, -36.94073881585606, 1.0
-5, 0.34298160063383853, -37.166353474305104, 1.0
-4, 0.33439227207006, -37.38664528158428, 1.0
-3, 0.32960032529827793, -37.51201730205838, 1.0
-2, 0.32738634771273545, -37.57055863833417, 1.0
-1, 0.3234754574832644, -37.6749432168982, 1.0
0, 0.3216435096742613, -37.724274079502656, 1.0
1, 0.32036910666150775, -37.75875732170732, 1.0
2, 0.31866197997895507, -37.80516492424405, 1.0
3, 0.3183765598746305, -37.812948200582866, 1.0
4, 0.3172323441127611, -37.844220731638615, 1.0
5, 0.31680223568579785, -37.856005173091766, 1.0
6, 0.3163714752564163, -37.86782354165972, 1.0
7, 0.3163714728114811, -37.86782360784605, 1.0
8, 0.3162277650279724, -37.87176995607749, 1.0
9, 0.31622774690219857, -37.87177045352764, 1.0
10, 0.3162277577187408, -37.87177017142359, 1.0
11, 0.3162277560020326, -37.87177020984993, 1.0
12, 0.31622776935995, -37.87176983378535, 1.0
