SNR, RMSE, NMSE, prob
-12, 5.174669966952474, -13.594259145187449, 0.7595454545454545
-11, 3.929286457448932, -15.985448106693065, 0.8713636363636363
-10, 2.343630605878404, -20.47358662450144, 0.9659090909090909
-9, 1.6245189080907319, -23.656791345976117, 0.9877272727272727
-8, 1.105198336796777, -27.002125859879513, 0.9981818181818182
-7, 0.8329633270414722, -29.45861037267531, 1.0
-6, 0.6919484769109251, -31.07035963882295, 1.0
-5, 0.5967193145115867, -32.355836551250256, 1.0
-4, 0.5177942059021978, -33.58842521921931, 1.0
-3, 0.44328056548847206, -34.937406639026904, 1.0
-2, 0.40138001500315523, -35.80113589276077, 1.0
-1, 0.35431740629867436, -36.88384131782179, 1.0
0, 0.3283983362503929, -37.54410742333156, 1.0
1, 0.3104281597762663, -38.0320905854828, 1.0
2, 0.2971005692968194, -38.41370602679204, 1.0
3, 0.28710125598481967, -38.71077725263536, 1.0
4, 0.2767572990582092, -39.0295926760522, 1.0
5, 0.2731827309385519, -39.14259236581155, 1.0
6, 0.26978110195208516, -39.25143171412153, 1.0
7, 0.2674502279072753, -39.32749103343003, 1.0
8, 0.26717475504422994, -39.33613055310163, 1.0
9, 0.2653134388835093, -39.3968187359297, 1.0
10, 0.26448881823846704, -39.423069228466105, 1.0
11, 0.26356303168388895, -39.45228003377701, 1.0
12, 0.2639168667286344, -39.4419247177549, 1.0
