SNR, RMSE, NMSE, prob
-12, 4.5637563678947455, -14.685463233068043, 0.8145454545454546
-11, 3.291158979090119, -17.52474470791267, 0.9122727272727272
-10, 1.9831213415473552, -21.924384077272965, 0.9768181818181818
-9, 1.3236556361748857, -25.435786492351422, 0.9936363636363637
-8, 1.0037172742277072, -27.83870234282417, 0.9981818181818182
-7, 0.7894931613268045, -29.92416054559145, 0.9995454545454545
-6, 0.6140901152316514, -32.107192657691975, 1.0
-5, 0.5368666200510591, -33.273910409566795, 1.0
-4, 0.4670017549482023, -34.48519869482875, 1.0
-3, 0.40942233820634244, -35.62754977835268, 1.0
-2, 0.3692533549388047, -36.52576179217888, 1.0
-1, 0.3326985734492738, -37.430672306528436, 1.0
0, 0.31544181373282987, -37.89374116373578, 1.0
1, 0.2926659659144707, -38.54386836696576, 1.0
2, 0.2805620103461777, -38.91119841078299, 1.0
3, 0.27157332103053006, -39.1937370360296, 1.0
4, 0.25860418341703395, -39.618863424491984, 1.0
5, 0.25243320643853445, -39.82872753490094, 1.0
6, 0.2430977939885821, -40.15604184300088, 1.0
7, 0.23721183711115143, -40.36962334036282, 1.0
8, 0.23902587755427923, -40.30314052425886, 1.0
9, 0.23999252980498476, -40.26804923718788, 1.0
10, 0.23702644378028262, -40.37527953856124, 1.0
11, 0.23499861204100875, -40.44866397835057, 1.0
12, 0.2315849601932129, -40.577060616308415, 1.0
