SNR, RMSE, NMSE, prob
-12, 8.292950858503552, 4.333124518982342, 0.329
-11, 8.138401975920893, 4.190671971188896, 0.356
-10, 7.666372921856958, 3.664924658967706, 0.431
-9, 7.5750587577532285, 3.5317741142390897, 0.444
-8, 6.5759123539059035, 2.2735475411106263, 0.583
-7, 5.616838685443552, 0.9529310234635001, 0.7
-6, 4.451881819531687, -1.1049407378608997, 0.815
-5, 3.292598456140638, -3.6863100961644775, 0.902
-4, 2.0198587447931597, -7.90835429560606, 0.967
-3, 1.2850515545210852, -11.861730198413854, 0.989
-2, 1.0118086891005562, -14.003374634056012, 0.994
-1, 0.7235517757663533, -16.870254910879346, 0.998
0, 0.5073301285476506, -19.85309962299359, 1.0
1, 0.4512926903822613, -20.907247117263044, 1.0
2, 0.439427931082216, -21.195852731706815, 1.0
3, 0.3976260002144906, -22.099644622077427, 1.0
4, 0.37769449575203, -22.545892286141292, 1.0
5, 0.37267271625505055, -22.604852083299175, 1.0
6, 0.35772065197770886, -22.93357844638996, 1.0
7, 0.35215642138857106, -23.078821413989946, 1.0
8, 0.33447551068898157, -23.548127962685573, 1.0
9, 0.3331257014947307, -23.63059380671764, 1.0
10, 0.32855169185998423, -23.718249564185612, 1.0
11, 0.3234039249132104, -23.85310204498571, 1.0
12, 0.3145035363268256, -24.145454457284057, 1.0
