SNR, RMSE, NMSE, prob
-12, 3.1615175041227435, -17.873858130974252, 0.9277272727272727
-11, 1.9387166920517906, -22.121482934048757, 0.9822727272727273
-10, 1.344008859914534, -25.3037273069851, 0.9977272727272727
-9, 1.017779045476178, -27.718699836947515, 1.0
-8, 0.8862687569085999, -28.920461129454672, 1.0
-7, 0.7369991001744054, -30.5224307759407, 1.0
-6, 0.6394393194427769, -31.75578317384156, 1.0
-5, 0.5490367305727973, -33.07974194214539, 1.0
-4, 0.49391297227901654, -33.99876127672223, 1.0
-3, 0.4427130516795091, -34.949323419474034, 1.0
-2, 0.403709105524166, -35.75039902849926, 1.0
-1, 0.36668950775261944, -36.58580026530178, 1.0
0, 0.35612454289589934, -36.83973182465393, 1.0
1, 0.3372317447325408, -37.3132009385253, 1.0
2, 0.3211232934470752, -37.73833374684142, 1.0
3, 0.29999143826880886, -38.32959273026199, 1.0
4, 0.29319325693528875, -38.52869037582064, 1.0
5, 0.2842852126183649, -38.79668453724682, 1.0
6, 0.2774479775772536, -39.008138662193296, 1.0
7, 0.2731593968115382, -39.143447033838065, 1.0
8, 0.2678746377063986, -39.313137994908224, 1.0
9, 0.25974604083653546, -39.580791193956266, 1.0
10, 0.2517022863090122, -39.85402672060478, 1.0
11, 0.2461046446749946, -40.04937373860568, 1.0
12, 0.23615977051142217, -40.407651570483985, 1.0
